
ALL GENERATED CLIENTS (1000 total):
-----------------------------------------------------
| Client ID | Arrival Time | Service Time |
-----------------------------------------------------
| 64        | 10           | 9            |
| 98        | 10           | 4            |
| 157       | 10           | 3            |
| 161       | 10           | 9            |
| 223       | 10           | 9            |
| 227       | 10           | 3            |
| 362       | 10           | 8            |
| 726       | 10           | 4            |
| 741       | 10           | 3            |
| 830       | 10           | 8            |
| 833       | 10           | 3            |
| 66        | 11           | 8            |
| 105       | 11           | 6            |
| 339       | 11           | 9            |
| 357       | 11           | 4            |
| 609       | 11           | 6            |
| 735       | 11           | 6            |
| 759       | 11           | 9            |
| 906       | 11           | 6            |
| 921       | 11           | 6            |
| 42        | 12           | 9            |
| 146       | 12           | 7            |
| 155       | 12           | 7            |
| 349       | 12           | 3            |
| 423       | 12           | 8            |
| 473       | 12           | 9            |
| 729       | 12           | 9            |
| 796       | 12           | 6            |
| 803       | 12           | 8            |
| 973       | 12           | 6            |
| 8         | 13           | 4            |
| 55        | 13           | 9            |
| 330       | 13           | 9            |
| 368       | 13           | 8            |
| 412       | 13           | 5            |
| 418       | 13           | 5            |
| 578       | 13           | 3            |
| 851       | 13           | 4            |
| 189       | 14           | 7            |
| 257       | 14           | 8            |
| 285       | 14           | 9            |
| 371       | 14           | 6            |
| 422       | 14           | 5            |
| 445       | 14           | 6            |
| 643       | 14           | 4            |
| 676       | 14           | 4            |
| 823       | 14           | 6            |
| 827       | 14           | 6            |
| 861       | 14           | 9            |
| 896       | 14           | 4            |
| 898       | 14           | 7            |
| 935       | 14           | 9            |
| 124       | 15           | 9            |
| 192       | 15           | 7            |
| 209       | 15           | 5            |
| 354       | 15           | 7            |
| 379       | 15           | 3            |
| 501       | 15           | 6            |
| 758       | 15           | 9            |
| 821       | 15           | 9            |
| 39        | 16           | 5            |
| 145       | 16           | 4            |
| 256       | 16           | 3            |
| 290       | 16           | 8            |
| 292       | 16           | 5            |
| 303       | 16           | 9            |
| 375       | 16           | 7            |
| 382       | 16           | 9            |
| 466       | 16           | 8            |
| 555       | 16           | 4            |
| 584       | 16           | 5            |
| 71        | 17           | 9            |
| 75        | 17           | 9            |
| 115       | 17           | 3            |
| 195       | 17           | 5            |
| 203       | 17           | 8            |
