
ALL GENERATED CLIENTS (1000 total):
-----------------------------------------------------
| Client ID | Arrival Time | Service Time |
-----------------------------------------------------
| 89        | 10           | 8            |
| 94        | 10           | 8            |
| 136       | 10           | 6            |
| 324       | 10           | 6            |
| 326       | 10           | 9            |
| 352       | 10           | 5            |
| 504       | 10           | 3            |
| 682       | 10           | 7            |
| 709       | 10           | 8            |
| 79        | 11           | 3            |
| 82        | 11           | 4            |
| 135       | 11           | 4            |
| 307       | 11           | 9            |
| 416       | 11           | 7            |
| 533       | 11           | 4            |
| 796       | 11           | 7            |
| 831       | 11           | 8            |
| 871       | 11           | 3            |
| 78        | 12           | 3            |
| 174       | 12           | 4            |
| 217       | 12           | 4            |
| 272       | 12           | 3            |
| 503       | 12           | 9            |
| 527       | 12           | 8            |
| 649       | 12           | 8            |
| 702       | 12           | 4            |
| 721       | 12           | 4            |
| 743       | 12           | 8            |
| 802       | 12           | 3            |
| 976       | 12           | 8            |
| 218       | 13           | 8            |
| 370       | 13           | 6            |
| 420       | 13           | 8            |
| 526       | 13           | 6            |
| 552       | 13           | 5            |
| 724       | 13           | 5            |
| 759       | 13           | 7            |
| 862       | 13           | 3            |
| 887       | 13           | 7            |
| 958       | 13           | 4            |
| 128       | 14           | 3            |
| 224       | 14           | 3            |
| 285       | 14           | 9            |
| 493       | 14           | 3            |
| 508       | 14           | 4            |
| 566       | 14           | 9            |
| 748       | 14           | 4            |
| 815       | 14           | 8            |
| 863       | 14           | 5            |
| 925       | 14           | 3            |
| 4         | 15           | 8            |
| 14        | 15           | 7            |
| 36        | 15           | 7            |
| 193       | 15           | 5            |
| 214       | 15           | 8            |
| 219       | 15           | 5            |
| 288       | 15           | 7            |
| 351       | 15           | 8            |
| 561       | 15           | 9            |
| 599       | 15           | 4            |
| 726       | 15           | 6            |
| 752       | 15           | 4            |
| 841       | 15           | 3            |
| 880       | 15           | 3            |
| 915       | 15           | 4            |
| 947       | 15           | 7            |
| 966       | 15           | 6            |
| 979       | 15           | 3            |
| 31        | 16           | 9            |
| 106       | 16           | 8            |
| 202       | 16           | 7            |
| 524       | 16           | 5            |
| 661       | 16           | 3            |
| 690       | 16           | 6            |
| 787       | 16           | 7            |
| 875       | 16           | 9            |
| 963       | 16           | 5            |
| 989       | 16           | 7            |
| 47        | 17           | 3            |
| 60        | 17           | 8            |
| 77        | 17           | 4            |
| 133       | 17           | 9            |
| 251       | 17           | 3            |
| 284       | 17           | 4            |
| 323       | 17           | 3            |
| 359       | 17           | 6            |
| 547       | 17           | 8            |
| 559       | 17           | 4            |
| 569       | 17           | 4            |
| 576       | 17           | 9            |
| 695       | 17           | 5            |
| 701       | 17           | 6            |
| 727       | 17           | 9            |
| 786       | 17           | 9            |
| 13        | 18           | 9            |
| 37        | 18           | 9            |
| 67        | 18           | 6            |
| 121       | 18           | 4            |
| 281       | 18           | 3            |
| 386       | 18           | 4            |
| 684       | 18           | 7            |
| 807       | 18           | 8            |
| 942       | 18           | 5            |
| 984       | 18           | 6            |
| 990       | 18           | 6            |
| 719       | 19           | 4            |
| 769       | 19           | 8            |
| 790       | 19           | 4            |
| 811       | 19           | 7            |
| 818       | 19           | 7            |
| 837       | 19           | 5            |
| 977       | 19           | 5            |
| 1         | 20           | 4            |
| 28        | 20           | 8            |
| 402       | 20           | 3            |
| 930       | 20           | 4            |
| 291       | 21           | 9            |
| 308       | 21           | 5            |
| 414       | 21           | 7            |
| 466       | 21           | 5            |
| 849       | 21           | 3            |
| 24        | 22           | 4            |
| 93        | 22           | 5            |
| 101       | 22           | 5            |
